case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
pengiriman cepat dan sudah dua kali order untuk toner ini. excellent!,pengiriman cepat dan sudah dua kali order untuk toner ini excellent,pengiriman cepat dan sudah dua kali order untuk toner ini excellent,"['pengiriman', 'cepat', 'dan', 'sudah', 'dua', 'kali', 'order', 'untuk', 'toner', 'ini', 'excellent']","['pengiriman', 'cepat', 'order', 'toner', 'excellent']","['kirim', 'cepat', 'order', 'toner', 'excellent']",kirim cepat order toner excellent
"pengiriman cepat, kualitas baik",pengiriman cepat kualitas baik,pengiriman cepat kualitas baik,"['pengiriman', 'cepat', 'kualitas', 'baik']","['pengiriman', 'cepat', 'kualitas']","['kirim', 'cepat', 'kualitas']",kirim cepat kualitas
"cocok pakai serum ini, aman dan tidak iritasi di kulit.",cocok pakai serum ini aman dan tidak iritasi di kulit,cocok pakai serum ini aman dan tidak iritasi di kulit,"['cocok', 'pakai', 'serum', 'ini', 'aman', 'dan', 'tidak', 'iritasi', 'di', 'kulit']","['cocok', 'pakai', 'serum', 'aman', 'iritasi', 'kulit']","['cocok', 'pakai', 'serum', 'aman', 'iritasi', 'kulit']",cocok pakai serum aman iritasi kulit
mantep pake voucher,mantep pake voucher,mantap pakai voucher,"['mantap', 'pakai', 'voucher']","['mantap', 'pakai', 'voucher']","['mantap', 'pakai', 'voucher']",mantap pakai voucher
kemasan ramah lingkungan dan aman. semoga cocok sama serum buatan anak bangsa.,kemasan ramah lingkungan dan aman semoga cocok sama serum buatan anak bangsa,kemasan ramah lingkungan dan aman semoga cocok sama serum buatan anak bangsa,"['kemasan', 'ramah', 'lingkungan', 'dan', 'aman', 'semoga', 'cocok', 'sama', 'serum', 'buatan', 'anak', 'bangsa']","['kemasan', 'ramah', 'lingkungan', 'aman', 'semoga', 'cocok', 'serum', 'buatan', 'anak', 'bangsa']","['kemas', 'ramah', 'lingkung', 'aman', 'moga', 'cocok', 'serum', 'buat', 'anak', 'bangsa']",kemas ramah lingkung aman moga cocok serum buat anak bangsa
"terimakasih kak, serum avoskinnya sudah sampai.
baru pertama kali pakai,semoga cocok dikulit ku dan membantu menyamarkan noda bekas jerawat 🥰",terimakasih kak serum avoskinnya sudah sampai baru pertama kali pakai semoga cocok dikulit ku dan membantu menyamarkan noda bekas jerawat,terima kasih kak serum avoskinnya sudah sampai baru pertama kali pakai semoga cocok dikulit ku dan membantu menyamarkan noda bekas jerawat,"['terima', 'kasih', 'kak', 'serum', 'avoskinnya', 'sudah', 'sampai', 'baru', 'pertama', 'kali', 'pakai', 'semoga', 'cocok', 'dikulit', 'ku', 'dan', 'membantu', 'menyamarkan', 'noda', 'bekas', 'jerawat']","['terima', 'kasih', 'serum', 'avoskinnya', 'pakai', 'semoga', 'cocok', 'dikulit', 'ku', 'menyamarkan', 'noda', 'bekas', 'jerawat']","['terima', 'kasih', 'serum', 'avoskinnya', 'pakai', 'moga', 'cocok', 'kulit', 'ku', 'samar', 'noda', 'bekas', 'jerawat']",terima kasih serum avoskinnya pakai moga cocok kulit ku samar noda bekas jerawat
"udh sampeeee, walaupun agak lama gapapa karena jauh juga jogjaaaa ;(( 
baru nyobaa semoga cocokkk eaa",udh sampeeee walaupun agak lama gapapa karena jauh juga jogjaaaa baru nyobaa semoga cocokkk eaa,sudah sampai walaupun agak lama gapapa karena jauh juga jogja baru mencoba semoga cocok eaa,"['sudah', 'sampai', 'walaupun', 'agak', 'lama', 'gapapa', 'karena', 'jauh', 'juga', 'jogja', 'baru', 'mencoba', 'semoga', 'cocok', 'eaa']","['gapapa', 'jogja', 'mencoba', 'semoga', 'cocok', 'eaa']","['gapapa', 'jogja', 'coba', 'moga', 'cocok', 'eaa']",gapapa jogja coba moga cocok eaa
pengiriman aman bgt soalnya agak worry krn kemasannya botol kaca,pengiriman aman bgt soalnya agak worry krn kemasannya botol kaca,pengiriman aman banget soalnya agak worry karena kemasannya botol kaca,"['pengiriman', 'aman', 'banget', 'soalnya', 'agak', 'worry', 'karena', 'kemasannya', 'botol', 'kaca']","['pengiriman', 'aman', 'banget', 'worry', 'kemasannya', 'botol', 'kaca']","['kirim', 'aman', 'banget', 'worry', 'kemas', 'botol', 'kaca']",kirim aman banget worry kemas botol kaca
"udh pernah coba yg travel kit, dan cocok. exp masih lama sih thn 2025 bulan maret",udh pernah coba yg travel kit dan cocok exp masih lama sih thn bulan maret,sudah pernah coba yang travel kit dan cocok exp masih lama sih tahun bulan maret,"['sudah', 'pernah', 'coba', 'yang', 'travel', 'kit', 'dan', 'cocok', 'exp', 'masih', 'lama', 'sih', 'tahun', 'bulan', 'maret']","['coba', 'travel', 'kit', 'cocok', 'exp', 'maret']","['coba', 'travel', 'kit', 'cocok', 'exp', 'maret']",coba travel kit cocok exp maret
"lama bgt sampenyaa tumbennn
tp gpp
alhamdulillah beli harga cuci gudang tapi dpt yg masih baru bgt
exp masih lamaaa akkk makasih avoskin",lama bgt sampenyaa tumbennn tp gpp alhamdulillah beli harga cuci gudang tapi dpt yg masih baru bgt exp masih lamaaa akkk makasih avoskin,lama banget sampai tumben tapi enggak apa-apa alhamdulillah beli harga cuci gudang tapi dapat yang masih baru banget exp masih lama akkk terima kasih avoskin,"['lama', 'banget', 'sampai', 'tumben', 'tapi', 'enggak', 'apa-apa', 'alhamdulillah', 'beli', 'harga', 'cuci', 'gudang', 'tapi', 'dapat', 'yang', 'masih', 'baru', 'banget', 'exp', 'masih', 'lama', 'akkk', 'terima', 'kasih', 'avoskin']","['banget', 'tumben', 'apa-apa', 'beli', 'harga', 'cuci', 'gudang', 'banget', 'exp', 'akkk', 'terima', 'kasih', 'avoskin']","['banget', 'tumben', 'apa', 'beli', 'harga', 'cuci', 'gudang', 'banget', 'exp', 'akkk', 'terima', 'kasih', 'avoskin']",banget tumben apa beli harga cuci gudang banget exp akkk terima kasih avoskin
