case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma
keren banget,keren banget,keren banget,"['keren', 'banget']","['keren', 'banget']",keren banget
"alhamdulillah barangnya cocok, terima kasih",alhamdulillah barangnya cocok terima kasih,alhamdulillah barangnya cocok terima kasih,"['alhamdulillah', 'barangnya', 'cocok', 'terima', 'kasih']","['alhamdulillah', 'barangnya', 'cocok', 'terima', 'kasih']",alhamdulillah barangnya cocok terima kasih
"cocok banget , mantap",cocok banget mantap,cocok banget mantap,"['cocok', 'banget', 'mantap']","['cocok', 'banget', 'mantap']",cocok banget mantap
puas belanja di sini,puas belanja di sini,puas belanja di sini,"['puas', 'belanja', 'di', 'sini']","['puas', 'belanja', 'sini']",puas belanja sini
keren dan hadiahnya keren banget,keren dan hadiahnya keren banget,keren dan hadiahnya keren banget,"['keren', 'dan', 'hadiahnya', 'keren', 'banget']","['keren', 'hadiahnya', 'keren', 'banget']",keren hadiahnya keren banget
favoritnya anakku,favoritnya anakku,favoritnya anakku,"['favoritnya', 'anakku']","['favoritnya', 'anakku']",favoritnya anakku
baru mau nyoba jg peeling dr sometinc smg cucok,baru mau nyoba jg peeling dr sometinc smg cucok,baru mau mencoba juga peeling dari sometinc semoga cocok,"['baru', 'mau', 'mencoba', 'juga', 'peeling', 'dari', 'sometinc', 'semoga', 'cocok']","['baru', 'mau', 'mencoba', 'peeling', 'sometinc', 'semoga', 'cocok']",baru mau mencoba peeling sometinc semoga cocok
tipe kulitku kombinasi tipe kulitku normal masalah kulitku jerawat tipe kulitku kering tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal masalah kulitku jerawat tipe kulitku kering tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal masalah kulitku jerawat tipe kulitku kering tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku kombinasi tipe kulitku normal masalah kulitku jerawat tipe kulitku kering tipe kulitku berminyak masalah kulitku pori besar
baru mau coba tp salah klik malah beli 2 gpp lah smg cucok karna emang nyari serum bakuchiol buat pemakaian sblm cream bakuchiol somerinc jg,baru mau coba tp salah klik malah beli gpp lah smg cucok karna emang nyari serum bakuchiol buat pemakaian sblm cream bakuchiol somerinc jg,baru mau coba tapi salah klik malah beli enggak apa-apa lah semoga cocok karena memang mencari serum bakuchiol buat pemakaian sebelum cream bakuchiol somerinc juga,"['baru', 'mau', 'coba', 'tapi', 'salah', 'klik', 'malah', 'beli', 'enggak', 'apa-apa', 'lah', 'semoga', 'cocok', 'karena', 'memang', 'mencari', 'serum', 'bakuchiol', 'buat', 'pemakaian', 'sebelum', 'cream', 'bakuchiol', 'somerinc', 'juga']","['baru', 'mau', 'coba', 'salah', 'klik', 'malah', 'beli', 'enggak', 'apa-apa', 'lah', 'semoga', 'cocok', 'memang', 'mencari', 'serum', 'bakuchiol', 'buat', 'pemakaian', 'cream', 'bakuchiol', 'somerinc']",baru mau coba salah klik malah beli enggak apa-apa lah semoga cocok memang mencari serum bakuchiol buat pemakaian cream bakuchiol somerinc
"somethinc udah gausa diragukan lagi ya. aku make shadenya langsung cocok dan semua skin carenya juga rata2 cocok di aku. packagingnya juga ga pernah main2, selalu aman😍
good job",somethinc udah gausa diragukan lagi ya aku make shadenya langsung cocok dan semua skin carenya juga rata cocok di aku packagingnya juga ga pernah main selalu aman good job,somethinc sudah enggak usah diragukan lagi ya aku memakai shadenya langsung cocok dan semua skin carenya juga rata cocok di aku packagingnya juga enggak pernah main selalu aman good job,"['somethinc', 'sudah', 'enggak', 'usah', 'diragukan', 'lagi', 'ya', 'aku', 'memakai', 'shadenya', 'langsung', 'cocok', 'dan', 'semua', 'skin', 'carenya', 'juga', 'rata', 'cocok', 'di', 'aku', 'packagingnya', 'juga', 'enggak', 'pernah', 'main', 'selalu', 'aman', 'good', 'job']","['somethinc', 'enggak', 'usah', 'diragukan', 'aku', 'memakai', 'shadenya', 'langsung', 'cocok', 'semua', 'skin', 'carenya', 'rata', 'cocok', 'aku', 'packagingnya', 'enggak', 'pernah', 'main', 'selalu', 'aman', 'good', 'job']",somethinc enggak usah diragukan aku memakai shadenya langsung cocok semua skin carenya rata cocok aku packagingnya enggak pernah main selalu aman good job
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar
"semuanya oke, lengkap, pengiriman aman dan baik banget dikasih bonus lip cream dan perintilan xixixi thank u somethinc😍😍",semuanya oke lengkap pengiriman aman dan baik banget dikasih bonus lip cream dan perintilan xixixi thank somethinc,semuanya oke lengkap pengiriman aman dan baik banget dikasih bonus lip cream dan perintilan xixixi thank somethinc,"['semuanya', 'oke', 'lengkap', 'pengiriman', 'aman', 'dan', 'baik', 'banget', 'dikasih', 'bonus', 'lip', 'cream', 'dan', 'perintilan', 'xixixi', 'thank', 'somethinc']","['semuanya', 'oke', 'lengkap', 'pengiriman', 'aman', 'baik', 'banget', 'dikasih', 'bonus', 'lip', 'cream', 'perintilan', 'xixixi', 'thank', 'somethinc']",semuanya oke lengkap pengiriman aman baik banget dikasih bonus lip cream perintilan xixixi thank somethinc
"semoga dipakainya cocok dikulitku,  cleanser sampai dengan selamat, makasih",semoga dipakainya cocok dikulitku cleanser sampai dengan selamat makasih,semoga dipakainya cocok dikulitku cleanser sampai dengan selamat terima kasih,"['semoga', 'dipakainya', 'cocok', 'dikulitku', 'cleanser', 'sampai', 'dengan', 'selamat', 'terima', 'kasih']","['semoga', 'dipakainya', 'cocok', 'dikulitku', 'cleanser', 'selamat', 'terima', 'kasih']",semoga dipakainya cocok dikulitku cleanser selamat terima kasih
"semoga cocok, sampai dengan selamat, makasih",semoga cocok sampai dengan selamat makasih,semoga cocok sampai dengan selamat terima kasih,"['semoga', 'cocok', 'sampai', 'dengan', 'selamat', 'terima', 'kasih']","['semoga', 'cocok', 'selamat', 'terima', 'kasih']",semoga cocok selamat terima kasih
tipe kulitku normal,tipe kulitku normal,tipe kulitku normal,"['tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'normal']",tipe kulitku normal
ngegumpal. mgkin efek sikatnya,ngegumpal mgkin efek sikatnya,ngegumpal mungkin efek sikatnya,"['ngegumpal', 'mungkin', 'efek', 'sikatnya']","['ngegumpal', 'mungkin', 'efek', 'sikatnya']",ngegumpal mungkin efek sikatnya
